vendor,trustscore,total_reviews,sample_size,billing_predation_pct,cost_burn_pct,quality_pct,support_failure_pct,brand_filter_pct,sample_window
Higgsfield,4.0,2433,41,78,37,29,22,7,2026-03-07 to 2026-05-18
Krea,2.4,78,20,60,5,25,20,15,2026 (1-star page 1)
Pollo,4.4,3508,19,42,21,16,11,32,2026 (1-star page 1)
Pika,1.6,56,19,42,11,63,53,0,2026 (1-star page 1)
Runway,1.1,243,9,100,56,44,56,0,2026 (1-star page 1)
Luma,1.5,51,10,70,70,60,40,0,2026 (1-star page 1)
Sora,1.2,1033,3,67,33,100,67,0,2026 (1-star page 1)
Kling,3.1,3,2,100,50,0,100,0,2026 (1-star, small sample)
